Restaurant,Address,Opening Hours,Holiday,Name,Price
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Rasam, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Sambar, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Mulligatawny Soup, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Garden Soup, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Kachumbar Salad, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Garden Salad, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Veg Manchow soup, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Tomato Soup, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Katchumber Salad, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Idly, 5.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Masala Idly, 7.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Mini Idly, 5.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Ghee fried Idly, 7.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Podi Idly, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Chilli Idly, 7.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Idly in sambar bowl, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Idly in Rasam bowl, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Dami Idly, 5.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Dahi Idly, 5.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Medu Vada, 5.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Medu Vada in sambar bowl, 5.99
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Medu Vada in Rasam Bowl, 5.99
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Combo, 5.99
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Combo in Sambar Bowl, 5.99
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Masala Vada, 5.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Dahi Vada, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Batata Vada, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Mysore Bonda, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Chennai Pakkoda, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Spring rolls, 5.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Paneer Pakkoda, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Samosa, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Aloo Tikki, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Chilli Pakora, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Bhel puri, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Samosa Chat, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Aloo Tikki Chat, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Papdi Chat, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Dahi Bhalla, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Channa Chat, 6.95
